,breed,fur,fur_color,gender,life_expectancy
250,Pug,Corto,Crema,Hembra,15
251,Pug,Corto,Marrón,Hembra,10
252,Bulldog Inglés,Corto,Marrón oscuro,Macho,10
253,Golden Retriever,Largo,Beige,,12
254,Dálmata,Corto,Blanco,Hembra,18
255,Bulldog Inglés,Corto,Negro,Hembra,10
256,Pomerania,Largo,Blanco,,16
257,Yorkies terrier,Largo,Negro,Hembra,17
259,pastor aleman,Largo,Negro/Fuego,Macho,18
260,Pug,Corto,Gris,Hembra,10
261,Labrador,Corto,Beige,Macho,16
262,Labrador Retriever,Corto,,,14
263,frech poodle,Corto,blanco o beige,Macho,18
264,Labradore,Corto,Beige,Hembra,16
265,Bernes,Largo,Negro,Hembra,17
266,Shih Tzu,Largo,Tricolor,Hembra,16
267,Shitzu Miniatura,Corto,Tricolor,Hembra,12
269,Cachorros French poodle minitoy,Largo,Blanco,Hembra,20
270,French,Corto,Blanco,Hembra,12
271,Doberman,,Chocolate,Macho,2
272,Shitzu Miniatura,Corto,Tricolor,Macho,12
274,French poodle mini toy,Corto,Blanco,Macho,15
275,Shitzu,Largo,,Hembra,15
278,Pug carlino,Corto,Marrón claro,Macho,12
280,Bulldog Inglés,Corto,,,10
282,Galgo Afgano,Largo,Rojo,Macho,
283,Bulldog Inglés,Corto,,,10
284,American Bully,,gris beige blanco con negro entre los que observa,,
285,Ovejero Alemán,Largo,,,13
286,Cachorros Labrador Retriever chocolate,Corto,Chocolate,Macho,20
287,Pastor Ovejero Aleman,Largo,Amarillo,Macho,13
288,Pomeranian,Largo,,Macho,16
289,Chihuahua Mexicano,Corto,,Macho,20
291,Pitbull,Corto,Blanco,,14
293,Pekinés,Largo,,,14
294,Shitzu,Largo,Blanco,Hembra,12
296,FRENCH POODLE,Largo,Chocolate,,20
297,Golden Retriever,Largo,Dorado,Macho,12
298,Doberman,Corto,Negro/Fuego,,13
299,Doberman Europeo,Corto,Negro,Hembra,14
300,Golden Retriever,Largo,Dorado,Macho,12
301,pequines,Largo,Beige,,14
302,Schnauzer,Largo,Blanco,Hembra,20
303,Snausher,Corto,,Macho,60
304,Hasky siberiano,Corto,Gris/Blanco,Macho,15
305,Schnauzer,Corto,,Macho,16
